Item,Year,Price per Kg in Rial
"Vegetables, leguminous nes",2003,879.9282000000001
"Vegetables, leguminous nes",2004,1183.4261999999999
Watermelons,1997,283.73589999999996
Watermelons,1998,253.9152
Watermelons,1999,315.8204
Watermelons,2000,410.91270000000003
Watermelons,2001,436.9567
Watermelons,2002,423.3991
Watermelons,2003,603.8240999999999
Watermelons,2004,881.9712000000001
Wheat,1997,484.3797
Wheat,1998,596.6365999999999
Wheat,1999,672.1092
Wheat,2000,875.1237
Wheat,2001,1048.3263
Wheat,2002,1286.7741
Wheat,2003,1499.319
Wheat,2004,1694.1770999999999
