Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1956","1956","1000 persons","9652.708","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1956","1956","1000 persons","13615.012","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1956","1956","1000 persons","6167.689","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","20288.539","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1957","1957","1000 persons","10396.077","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1957","1957","1000 persons","9892.465","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1957","1957","1000 persons","13835.533","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1957","1957","1000 persons","6452.903","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","20811.144","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1958","1958","1000 persons","10670.065","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1958","1958","1000 persons","10141.07","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1958","1958","1000 persons","14059.53","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1958","1958","1000 persons","6751.531","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","21350.574","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1959","1959","1000 persons","10952.164","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1959","1959","1000 persons","10398.401","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1959","1959","1000 persons","14286.747","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1959","1959","1000 persons","7063.777","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 persons","21906.914","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1960","1960","1000 persons","11242.525","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1960","1960","1000 persons","10664.384","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1960","1960","1000 persons","14516.645","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1960","1960","1000 persons","7390.258","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1961","1961","1000 persons","22480.372","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1961","1961","1000 persons","11541.313","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1961","1961","1000 persons","10939.058","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1961","1961","1000 persons","14749.567","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1961","1961","1000 persons","7730.851","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1962","1962","1000 persons","23071.315","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","512","Total Population - Male","3010","Population - Est. & Proj.","1962","1962","1000 persons","11848.692","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","513","Total Population - Female","3010","Population - Est. & Proj.","1962","1962","1000 persons","11222.617","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","551","Rural population","3010","Population - Est. & Proj.","1962","1962","1000 persons","14984.755","X","International reliable sources",""
"OA","Annual population","102","Iran (Islamic Republic of)","561","Urban population","3010","Population - Est. & Proj.","1962","1962","1000 persons","8086.674","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","102","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1963","1963","1000 persons","23680.258","X","International reliable sources",""
