Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","1991","1991","tonnes","1487","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","1992","1992","tonnes","2752","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","1993","1993","tonnes","2186","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","1994","1994","tonnes","2463","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","1995","1995","tonnes","1395","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","1996","1996","tonnes","2067","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2000","2000","tonnes","2482.34","Fc","Calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2001","2001","tonnes","2394.28","Fc","Calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2002","2002","tonnes","2444.94","Fc","Calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2003","2003","tonnes","2891.7","Fc","Calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2004","2004","tonnes","3066.8","Fc","Calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2005","2005","tonnes","3142.96","Fc","Calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2006","2006","tonnes","3348.66","Fc","Calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2007","2007","tonnes","2420.8","Fc","Calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2008","2008","tonnes","691.22","Fc","Calculated data"
"RP","Pesticides Use","102","Iran (Islamic Republic of)","5157","Agricultural Use","1320","Herbicides","2009","2009","tonnes","1436.16","Fc","Calculated data"
